fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,alcohol,quality
7.3,0.28,0.43,0.5306282510621704,-2.5257286443082556,3.044522437723423,3.19,0.42,12.8,5
6.5,0.39,0.23,1.6863989535702288,-2.9759296462578115,3.2188758248682006,3.24,0.35,10.0,5
7.0,0.33,0.32,0.1823215567939546,-2.9374633654300153,3.6375861597263857,3.13,0.28,11.2,6
7.3,0.24,0.39,2.8875901149342877,-2.864704011147587,3.8066624897703196,3.21,0.36,8.6,5
7.3,0.24,0.39,2.8875901149342877,-2.864704011147587,3.8066624897703196,3.21,0.36,8.6,5
7.0,0.31,0.26,2.0014800002101243,-2.6736487743848776,3.332204510175204,3.13,0.46,9.8,6
6.6,0.24,0.27,0.3364722366212129,-2.864704011147587,3.4965075614664802,3.22,0.56,9.5,6
6.7,0.23,0.26,0.3364722366212129,-2.8134107167600364,3.4965075614664802,3.24,0.56,9.5,6
7.4,0.18,0.31,0.3364722366212129,-2.8473122684357177,3.6375861597263857,3.16,0.53,10.0,7
6.2,0.45,0.26,1.4816045409242156,-2.7646205525906042,4.143134726391533,3.27,0.52,9.8,4
6.2,0.46,0.25,1.4816045409242156,-2.7181005369557116,4.127134385045092,3.25,0.52,9.8,5
7.0,0.31,0.26,2.0014800002101243,-2.6736487743848776,3.332204510175204,3.13,0.46,9.8,6
6.9,0.19,0.35,1.6094379124341003,-2.703062659591171,3.4657359027997265,3.36,0.48,9.8,5
7.2,0.19,0.31,0.47000362924573563,-2.7806208939370456,3.4339872044851463,3.35,0.44,11.7,6
6.6,0.25,0.29,0.09531017980432493,-2.6882475738060303,3.6635616461296463,3.34,0.58,11.0,7
6.2,0.16,0.33,0.09531017980432493,-2.864704011147587,3.044522437723423,3.32,0.46,10.9,7
6.4,0.18,0.35,0.0,-3.101092789211817,3.6635616461296463,3.31,0.35,10.9,6
6.9,0.25,0.35,0.26236426446749106,-3.2441936328524905,3.367295829986474,3.13,0.52,11.0,6
7.2,0.21,0.34,2.4765384001174837,-3.146555163288575,3.6109179126442243,3.09,0.5,9.6,6
6.0,0.19,0.26,2.517696472610991,-3.036554268074246,3.912023005428146,3.3,0.36,8.9,6
6.6,0.38,0.15,1.5260563034950492,-3.123565645063876,3.2188758248682006,3.11,0.38,10.2,6
7.4,0.2,0.36,0.1823215567939546,-3.270169119255751,3.784189633918261,3.36,0.34,9.9,6
6.8,0.22,0.24,1.589235205116581,-2.385966701933097,3.4011973816621555,3.03,0.46,8.6,6
6.0,0.19,0.26,2.517696472610991,-3.036554268074246,3.912023005428146,3.3,0.36,8.9,6
7.0,0.47,0.07,0.09531017980432493,-3.3524072174927233,2.833213344056216,3.02,0.34,10.5,5
6.6,0.38,0.15,1.5260563034950492,-3.123565645063876,3.2188758248682006,3.11,0.38,10.2,6
7.2,0.24,0.27,0.3364722366212129,-3.270169119255751,3.4339872044851463,3.15,0.46,10.3,6
6.2,0.35,0.03,0.1823215567939546,-2.7488721956224653,3.367295829986474,3.22,0.54,9.1,5
6.4,0.26,0.24,1.8562979903656263,-3.2188758248682006,3.295836866004329,3.22,0.49,12.6,7
6.7,0.25,0.13,0.1823215567939546,-3.1941832122778293,4.394449154672439,3.14,0.42,9.8,5
6.7,0.23,0.31,0.7419373447293773,-3.079113882493042,3.4011973816621555,3.33,0.64,10.7,8
7.4,0.24,0.29,2.312535423847214,-2.995732273553991,3.044522437723423,3.13,0.35,9.5,5
6.2,0.27,0.43,2.0541237336955462,-2.882403588246988,3.871201010907891,3.1,0.51,9.0,6
6.8,0.3,0.23,1.5260563034950492,-2.796881414808826,3.9219733362813143,3.32,0.6,9.5,5
6.0,0.27,0.28,1.5686159179138452,-2.7646205525906042,3.4339872044851463,3.69,0.71,10.0,5
8.6,0.23,0.46,0.0,-2.9187712324178627,2.1972245773362196,2.95,0.49,9.1,6
6.7,0.23,0.31,0.7419373447293773,-3.079113882493042,3.4011973816621555,3.33,0.64,10.7,8
7.4,0.24,0.29,2.312535423847214,-2.995732273553991,3.044522437723423,3.13,0.35,9.5,5
7.1,0.18,0.36,0.3364722366212129,-3.146555163288575,3.4339872044851463,3.26,0.37,12.7,7
7.0,0.32,0.34,0.26236426446749106,-3.170085660698769,2.995732273553991,3.31,0.65,12.0,7
7.4,0.18,0.3,2.174751721484161,-2.7488721956224653,3.258096538021482,2.94,0.56,9.3,5
6.7,0.54,0.28,1.6863989535702288,-2.8134107167600364,3.044522437723423,3.27,0.37,9.0,5
6.8,0.22,0.31,0.3364722366212129,-2.9374633654300153,3.5263605246161616,3.39,0.77,10.6,6
7.1,0.2,0.34,2.772588722239781,-2.995732273553991,3.9318256327243257,3.21,0.6,9.2,6
7.1,0.34,0.2,1.8082887711792655,-2.7646205525906042,3.8501476017100584,3.17,0.42,10.0,5
7.3,0.22,0.3,2.1041341542702074,-3.0576076772720784,3.7376696182833684,3.33,0.46,9.5,6
7.1,0.43,0.61,2.468099531471619,-3.101092789211817,3.9889840465642745,3.11,0.45,8.7,5
7.1,0.44,0.62,2.468099531471619,-3.123565645063876,3.9512437185814275,3.12,0.46,8.7,6
7.2,0.39,0.63,2.3978952727983707,-3.123565645063876,4.007333185232471,3.09,0.44,8.7,6
6.8,0.25,0.31,2.5877640352277083,-2.995732273553991,4.23410650459726,3.22,0.48,9.7,6
7.1,0.43,0.61,2.468099531471619,-3.101092789211817,3.9889840465642745,3.11,0.45,8.7,5
7.1,0.44,0.62,2.468099531471619,-3.123565645063876,3.9512437185814275,3.12,0.46,8.7,6
7.2,0.39,0.63,2.3978952727983707,-3.123565645063876,4.007333185232471,3.09,0.44,8.7,6
6.1,0.27,0.43,2.0149030205422647,-3.0159349808715104,4.174387269895637,3.12,0.47,9.0,5
6.9,0.24,0.33,0.5306282510621704,-3.3524072174927233,3.8501476017100584,3.26,0.4,12.6,7
6.9,0.21,0.33,0.5877866649021191,-3.3813947543659757,3.871201010907891,3.25,0.41,12.6,7
7.5,0.17,0.32,0.5306282510621704,-3.2188758248682006,3.9318256327243257,3.21,0.44,11.5,7
7.1,0.26,0.29,2.517696472610991,-3.123565645063876,4.127134385045092,3.04,0.42,9.2,6
6.0,0.34,0.66,2.766319109226186,-3.079113882493042,3.258096538021482,3.14,0.5,8.8,6
8.6,0.265,0.36,0.1823215567939546,-3.3813947543659757,2.70805020110221,2.95,0.36,11.4,7
9.8,0.36,0.46,2.3513752571634776,-3.270169119255751,1.3862943611198906,2.89,0.3,10.1,4
6.0,0.34,0.66,2.766319109226186,-3.079113882493042,3.258096538021482,3.14,0.5,8.8,6
7.4,0.25,0.37,2.6026896854443837,-2.8134107167600364,3.9512437185814275,3.0,0.44,9.1,5
7.1,0.12,0.32,2.2617630984737906,-2.9187712324178627,4.1588830833596715,3.4,0.41,9.4,5
6.0,0.21,0.24,2.4932054526026954,-2.995732273553991,4.007333185232471,3.34,0.39,9.4,5
7.5,0.305,0.4,2.9391619220655967,-2.8302178350764176,3.784189633918261,2.99,0.46,9.0,5
7.4,0.25,0.37,2.6026896854443837,-2.8134107167600364,3.9512437185814275,3.0,0.44,9.1,5
7.3,0.13,0.32,2.667228206581955,-2.9759296462578115,3.5263605246161616,3.2,0.35,9.2,6
7.1,0.12,0.32,2.2617630984737906,-2.9187712324178627,4.1588830833596715,3.4,0.41,9.4,5
7.1,0.23,0.35,2.803360380906535,-3.2188758248682006,4.0943445622221,3.16,0.59,9.1,6
7.1,0.23,0.35,2.803360380906535,-3.2188758248682006,4.0943445622221,3.16,0.59,9.1,6
6.9,0.33,0.28,0.26236426446749106,-2.9759296462578115,3.6109179126442243,3.27,0.6,10.3,5
6.5,0.17,0.54,2.1400661634962708,-2.501036031717884,4.1588830833596715,2.89,0.39,8.8,6
7.2,0.27,0.46,2.9311937524164198,-2.9565115604007097,3.8066624897703196,3.04,0.52,8.9,5
7.2,0.31,0.5,2.5877640352277083,-2.882403588246988,4.219507705176107,3.01,0.47,9.2,5
6.7,0.41,0.34,2.2192034840549946,-3.0159349808715104,3.367295829986474,3.22,0.51,9.1,5
6.7,0.41,0.34,2.2192034840549946,-3.0159349808715104,3.367295829986474,3.22,0.51,9.1,5
5.5,0.485,0.0,0.4054651081081644,-2.7333680090865,2.0794415416798357,3.63,0.4,9.7,4
6.0,0.31,0.24,1.1939224684724346,-3.1941832122778293,3.2188758248682006,3.31,0.44,11.3,6
7.0,0.14,0.4,0.5306282510621704,-3.3524072174927233,2.772588722239781,3.19,0.42,11.8,6
7.2,0.31,0.5,2.5877640352277083,-2.882403588246988,4.219507705176107,3.01,0.47,9.2,5
7.3,0.32,0.48,2.5877640352277083,-2.8134107167600364,4.04305126783455,3.04,0.5,9.2,5
5.9,0.36,0.04,1.7404661748405046,-3.079113882493042,3.044522437723423,3.22,0.51,10.2,5
7.8,0.24,0.32,2.501435951739211,-2.9187712324178627,3.7376696182833684,3.01,0.54,8.8,5
7.4,0.16,0.31,1.9242486522741338,-2.8302178350764176,3.4339872044851463,3.29,0.34,9.7,5
6.9,0.19,0.28,1.6094379124341003,-2.8473122684357177,2.6390573296152584,3.29,0.36,9.1,6
6.4,0.13,0.47,0.47000362924573563,-2.385966701933097,3.6888794541139363,3.21,0.36,9.8,6
6.7,0.19,0.36,0.09531017980432493,-3.649658740960655,4.143134726391533,3.27,0.48,11.0,6
7.4,0.39,0.23,1.9459101490553132,-3.4112477175156566,3.367295829986474,3.14,0.42,10.5,5
6.5,0.24,0.32,2.028148247292285,-3.270169119255751,3.871201010907891,3.45,0.54,9.7,7
6.1,0.3,0.56,1.0296194171811581,-3.123565645063876,3.8501476017100584,3.3,0.57,10.9,7
6.1,0.3,0.56,0.9932517730102834,-3.079113882493042,3.828641396489095,3.31,0.57,10.9,6
5.7,0.26,0.25,2.341805806147327,-3.912023005428146,1.9459101490553132,3.39,0.37,10.6,5
6.5,0.24,0.32,2.028148247292285,-3.270169119255751,3.871201010907891,3.45,0.54,9.7,7
6.5,0.425,0.4,2.5726122302071057,-3.270169119255751,4.07753744390572,3.23,0.57,9.0,5
6.6,0.24,0.27,2.760009940032921,-3.3524072174927233,3.828641396489095,3.24,0.51,9.2,5
6.8,0.27,0.22,2.0918640616783932,-3.3813947543659757,4.007333185232471,3.19,0.52,8.9,5
6.7,0.27,0.31,2.7536607123542622,-3.324236340526027,3.784189633918261,3.26,0.56,9.6,5
8.2,0.23,0.4,0.1823215567939546,-3.6119184129778077,3.58351893845611,3.12,0.38,10.7,6
7.1,0.37,0.67,2.3513752571634776,-3.101092789211817,3.8918202981106265,3.16,0.44,8.7,5
6.8,0.19,0.36,0.6418538861723947,-3.3524072174927233,3.4011973816621555,3.15,0.54,10.8,7
8.1,0.28,0.39,0.6418538861723947,-3.540459448995663,2.8903717578961645,3.23,0.52,11.8,6
6.3,0.31,0.34,0.7884573603642703,-3.101092789211817,2.995732273553991,3.3,0.43,10.2,5
7.1,0.37,0.67,2.3513752571634776,-3.101092789211817,3.8918202981106265,3.16,0.44,8.7,5
7.9,0.21,0.4,0.1823215567939546,-3.2441936328524905,3.6375861597263857,3.21,0.54,10.8,6
8.5,0.21,0.41,1.4586150226995167,-3.324236340526027,3.1780538303479458,3.18,0.53,9.7,6
8.1,0.2,0.4,0.6931471805599453,-3.2968373663379125,2.9444389791664403,3.12,0.54,11.2,6
6.3,0.255,0.37,0.09531017980432493,-3.2188758248682006,3.6109179126442243,3.0,0.39,10.9,6
5.6,0.16,0.27,0.3364722366212129,-3.123565645063876,3.970291913552122,3.28,0.37,10.1,6
6.4,0.595,0.14,1.6486586255873816,-2.8473122684357177,2.70805020110221,3.38,0.36,9.0,4
6.3,0.34,0.33,1.5260563034950492,-3.3813947543659757,2.9444389791664403,3.38,0.58,12.0,7
6.9,0.25,0.3,1.410986973710262,-2.9187712324178627,3.1354942159291497,2.99,0.38,9.4,6
7.9,0.22,0.38,2.0794415416798357,-3.146555163288575,3.828641396489095,3.12,0.32,11.5,7
7.6,0.18,0.46,2.322387720290225,-2.900422093749666,4.060443010546419,3.14,0.43,9.9,6
6.9,0.25,0.3,1.410986973710262,-2.9187712324178627,3.1354942159291497,2.99,0.38,9.4,6
7.2,0.18,0.41,0.1823215567939546,-3.036554268074246,3.713572066704308,3.14,0.45,10.4,5
8.2,0.23,0.4,2.0149030205422647,-3.0159349808715104,2.4849066497880004,3.06,0.84,9.7,6
7.4,0.24,0.42,2.6390573296152584,-2.7181005369557116,3.871201010907891,2.89,0.42,8.9,6
7.4,0.24,0.42,2.6390573296152584,-2.7181005369557116,3.871201010907891,2.89,0.42,8.9,6
6.1,0.32,0.24,0.4054651081081644,-3.324236340526027,3.6375861597263857,3.29,0.42,12.4,7
5.2,0.44,0.04,0.3364722366212129,-3.324236340526027,3.7612001156935624,3.36,0.33,12.1,8
5.2,0.44,0.04,0.3364722366212129,-3.324236340526027,3.7612001156935624,3.36,0.33,12.1,8
6.1,0.32,0.24,0.4054651081081644,-3.324236340526027,3.6375861597263857,3.29,0.42,12.4,7
6.4,0.22,0.56,2.6741486494265287,-2.900422093749666,3.295836866004329,2.98,0.4,9.1,5
6.3,0.36,0.3,1.5686159179138452,-3.0159349808715104,2.6390573296152584,3.28,0.39,10.6,5
7.4,0.24,0.42,2.6390573296152584,-2.7181005369557116,3.871201010907891,2.89,0.42,8.9,6
6.7,0.24,0.35,2.5726122302071057,-2.995732273553991,4.1588830833596715,3.15,0.5,9.5,5
7.0,0.23,0.36,2.5649493574615367,-2.9759296462578115,4.276666119016055,3.16,0.49,9.8,5
8.4,0.27,0.46,2.163323025660538,-3.036554268074246,3.6635616461296463,3.14,0.59,9.6,6
6.7,0.46,0.18,0.8754687373538999,-3.3813947543659757,3.2188758248682006,3.08,0.44,12.6,7
7.5,0.29,0.31,2.191653532286764,-2.900422093749666,2.995732273553991,3.08,0.54,9.3,5
9.8,0.42,0.48,2.2874714551839976,-3.3813947543659757,1.6094379124341003,2.87,0.29,10.0,5
7.1,0.3,0.46,0.4054651081081644,-2.7181005369557116,3.367295829986474,3.12,0.54,12.7,6
7.9,0.19,0.45,0.4054651081081644,-3.101092789211817,2.833213344056216,3.13,0.39,11.0,6
7.6,0.48,0.37,-0.2231435513142097,-3.2968373663379125,1.3862943611198906,3.03,0.39,11.4,4
6.3,0.22,0.43,1.5151272329628591,-3.270169119255751,3.4339872044851463,3.35,0.33,11.5,7
7.5,0.27,0.31,2.8735646395797834,-2.9759296462578115,3.4965075614664802,3.09,0.64,10.2,5
6.9,0.23,0.4,2.0149030205422647,-3.2188758248682006,3.912023005428146,3.11,0.27,11.4,6
7.2,0.32,0.47,1.62924053973028,-3.123565645063876,2.9444389791664403,3.03,0.41,12.6,4
5.9,0.23,0.3,2.5572273113676265,-2.9187712324178627,4.04305126783455,3.28,0.39,9.4,5
6.0,0.67,0.07,0.1823215567939546,-2.8134107167600364,2.1972245773362196,3.11,0.35,8.7,4
6.4,0.25,0.32,1.7047480922384253,-3.0159349808715104,3.713572066704308,3.19,0.68,9.2,6
6.4,0.33,0.31,1.7047480922384253,-3.036554268074246,3.7376696182833684,3.19,0.66,9.3,6
7.1,0.34,0.15,0.1823215567939546,-2.9374633654300153,4.110873864173311,3.09,0.43,9.2,5
6.8,0.28,0.4,3.091042453358316,-3.036554268074246,3.871201010907891,2.93,0.5,8.7,5
6.9,0.27,0.4,2.6390573296152584,-2.995732273553991,4.1588830833596715,3.18,0.58,9.6,6
6.8,0.26,0.56,2.4765384001174837,-3.146555163288575,4.1588830833596715,3.02,0.63,9.3,5
6.8,0.29,0.56,2.4765384001174837,-3.146555163288575,4.189654742026425,3.02,0.63,9.3,5
6.7,0.24,0.41,2.2407096892759584,-3.2188758248682006,3.8918202981106265,3.12,0.61,9.9,6
5.9,0.3,0.23,1.4350845252893227,-3.270169119255751,3.7376696182833684,3.15,0.5,11.0,5
6.8,0.53,0.35,1.33500106673234,-3.3813947543659757,3.258096538021482,3.26,0.57,12.7,8
6.5,0.28,0.28,2.1400661634962708,-3.0576076772720784,3.9889840465642745,3.09,0.54,8.9,4
6.6,0.28,0.28,2.1400661634962708,-2.9565115604007097,4.007333185232471,3.09,0.55,8.9,6
6.8,0.28,0.4,3.091042453358316,-3.036554268074246,3.871201010907891,2.93,0.5,8.7,5
6.8,0.28,0.36,2.0794415416798357,-3.101092789211817,3.332204510175204,3.02,0.37,11.4,6
6.6,0.15,0.34,1.62924053973028,-2.900422093749666,3.5263605246161616,3.36,0.42,9.6,5
6.8,0.26,0.24,2.0541237336955462,-2.9565115604007097,3.9889840465642745,3.13,0.47,8.9,5
7.1,0.32,0.24,2.5726122302071057,-2.995732273553991,3.9512437185814275,3.1,0.49,8.8,5
6.8,0.26,0.24,2.0541237336955462,-2.9565115604007097,3.9889840465642745,3.13,0.47,8.9,5
6.8,0.27,0.26,2.7788192719904172,-3.0159349808715104,4.007333185232471,3.15,0.5,9.3,5
7.1,0.32,0.24,2.5726122302071057,-2.995732273553991,3.9512437185814275,3.1,0.49,8.8,5
6.9,0.54,0.32,2.580216829592325,-2.995732273553991,3.970291913552122,3.2,0.5,9.6,5
6.8,0.26,0.34,2.631888840136646,-3.3813947543659757,3.6635616461296463,3.33,0.53,12.0,6
5.8,0.28,0.35,0.8329091229351039,-2.9374633654300153,3.58351893845611,3.28,0.5,10.2,4
6.4,0.21,0.5,2.451005098112319,-3.170085660698769,3.8066624897703196,3.15,0.43,8.8,5
7.0,0.16,0.32,2.1162555148025524,-3.101092789211817,3.6375861597263857,3.21,0.34,9.2,5
6.8,0.57,0.29,0.7884573603642703,-3.2188758248682006,2.70805020110221,3.32,0.74,10.2,5
6.1,0.4,0.31,-0.10536051565782628,-3.036554268074246,3.1354942159291497,3.22,0.77,9.5,6
5.6,0.245,0.25,2.272125885509337,-3.4420193761824103,2.4849066497880004,3.31,0.34,10.5,5
6.8,0.18,0.38,0.3364722366212129,-3.270169119255751,3.5553480614894135,3.32,0.59,11.2,7
7.0,0.16,0.32,2.1162555148025524,-3.101092789211817,3.6375861597263857,3.21,0.34,9.2,5
6.7,0.13,0.29,1.667706820558076,-2.9759296462578115,3.4339872044851463,3.44,0.37,9.7,6
6.2,0.25,0.25,0.3364722366212129,-3.506557897319982,3.5553480614894135,3.3,0.44,11.1,7
5.8,0.26,0.24,2.2192034840549946,-3.123565645063876,4.007333185232471,3.31,0.38,9.4,5
7.5,0.27,0.36,1.9459101490553132,-3.324236340526027,3.8066624897703196,3.03,0.33,11.0,5
5.8,0.26,0.24,2.2192034840549946,-3.123565645063876,4.007333185232471,3.31,0.38,9.4,5
5.7,0.28,0.24,2.8622008809294686,-3.123565645063876,4.0943445622221,3.31,0.44,9.4,5
7.5,0.23,0.36,1.9459101490553132,-3.324236340526027,3.7612001156935624,3.04,0.32,11.0,5
7.5,0.27,0.36,1.9459101490553132,-3.324236340526027,3.8066624897703196,3.03,0.33,11.0,5
7.2,0.685,0.21,2.2512917986064953,-2.659260036932778,3.4965075614664802,3.0,0.55,9.1,6
6.2,0.25,0.25,0.3364722366212129,-3.506557897319982,3.5553480614894135,3.3,0.44,11.1,7
6.5,0.19,0.3,-0.2231435513142097,-3.146555163288575,3.4965075614664802,3.42,0.39,9.1,6
6.3,0.495,0.22,0.5877866649021191,-3.079113882493042,3.4339872044851463,3.39,0.54,10.4,6
7.1,0.24,0.41,2.8791984572980396,-3.079113882493042,3.6635616461296463,3.32,0.39,8.7,5
6.4,0.17,0.32,0.8754687373538999,-3.036554268074246,3.713572066704308,3.5,0.5,9.7,6
7.1,0.25,0.32,2.33214389523559,-3.1941832122778293,4.189654742026425,3.17,0.52,9.1,6
6.4,0.17,0.32,0.8754687373538999,-3.036554268074246,3.713572066704308,3.5,0.5,9.7,6
7.1,0.24,0.41,2.8791984572980396,-3.079113882493042,3.6635616461296463,3.32,0.39,8.7,5
6.8,0.64,0.08,2.272125885509337,-2.7806208939370456,3.258096538021482,3.37,0.46,8.9,4
8.3,0.28,0.4,2.0541237336955462,-3.1941832122778293,3.6375861597263857,3.34,0.51,9.6,6
8.2,0.27,0.39,2.0541237336955462,-3.2441936328524905,3.8918202981106265,3.31,0.51,9.5,6
7.2,0.23,0.38,2.6602595372658615,-2.8473122684357177,4.007333185232471,3.09,0.44,9.0,6
7.2,0.23,0.38,2.6602595372658615,-2.8473122684357177,4.007333185232471,3.09,0.44,9.0,6
7.2,0.23,0.38,2.6602595372658615,-2.8473122684357177,4.007333185232471,3.09,0.44,9.0,6
7.2,0.23,0.38,2.6602595372658615,-2.8473122684357177,4.007333185232471,3.09,0.44,9.0,6
6.8,0.52,0.32,2.580216829592325,-3.123565645063876,3.9889840465642745,3.27,0.5,9.6,6
7.0,0.26,0.59,0.3364722366212129,-3.2968373663379125,3.6888794541139363,3.34,0.41,11.1,7
6.2,0.25,0.21,2.744060638625243,-3.2441936328524905,3.332204510175204,3.48,0.64,9.6,6
7.3,0.32,0.23,2.617395832834079,-2.995732273553991,3.8918202981106265,3.2,0.46,8.7,5
7.7,0.31,0.26,2.0541237336955462,-3.473768074496991,3.1354942159291497,3.13,0.5,10.4,5
7.1,0.21,0.37,0.8754687373538999,-3.649658740960655,3.1354942159291497,3.15,0.38,11.4,7
6.8,0.24,0.34,0.9932517730102834,-3.0576076772720784,4.1666652238017265,3.3,0.58,9.7,6
6.9,0.4,0.56,2.4159137783010487,-3.146555163288575,3.6888794541139363,3.14,0.46,8.7,5
6.1,0.18,0.36,0.6931471805599453,-3.270169119255751,2.995732273553991,3.37,0.79,11.3,6
6.8,0.21,0.27,0.7419373447293773,-3.506557897319982,3.258096538021482,3.16,0.61,12.6,7
5.8,0.2,0.27,0.3364722366212129,-3.473768074496991,2.4849066497880004,3.25,0.36,10.9,7
5.6,0.19,0.26,0.3364722366212129,-3.506557897319982,2.4849066497880004,3.25,0.37,10.9,7
6.1,0.41,0.14,2.341805806147327,-3.2968373663379125,2.8903717578961645,3.38,0.45,10.0,5
5.9,0.21,0.28,1.5260563034950492,-2.9374633654300153,3.6888794541139363,3.72,0.7,10.0,4
8.5,0.26,0.21,2.785011242238338,-2.603690185777967,3.713572066704308,3.02,0.5,9.8,3
6.9,0.4,0.56,2.4159137783010487,-3.146555163288575,3.6888794541139363,3.14,0.46,8.7,5
5.8,0.24,0.44,1.252762968495368,-3.540459448995663,1.6094379124341003,3.53,0.43,11.7,3
5.8,0.24,0.39,0.4054651081081644,-2.9187712324178627,3.6109179126442243,3.21,0.52,9.3,6
6.7,0.26,0.39,0.09531017980432493,-3.2188758248682006,3.8066624897703196,3.32,0.58,9.6,8
6.3,0.35,0.3,1.7404661748405046,-3.3524072174927233,2.0794415416798357,3.27,0.41,11.0,7
6.3,0.35,0.3,1.7404661748405046,-3.3524072174927233,2.0794415416798357,3.27,0.41,11.0,7
6.4,0.23,0.39,0.5877866649021191,-3.4420193761824103,3.1354942159291497,3.32,0.5,11.8,6
5.8,0.36,0.38,-0.10536051565782628,-3.2968373663379125,1.0986122886681098,3.28,0.34,11.4,4
6.9,0.115,0.35,1.6863989535702288,-3.036554268074246,3.58351893845611,3.32,0.42,10.2,6
6.9,0.29,0.4,2.9678470700644555,-3.146555163288575,3.58351893845611,2.93,0.47,8.9,5
6.9,0.28,0.4,2.1041341542702074,-3.324236340526027,2.70805020110221,3.17,0.33,10.2,5
7.2,0.29,0.4,2.6100697927420065,-3.101092789211817,4.189654742026425,3.08,0.59,9.6,6
6.2,0.24,0.35,0.1823215567939546,-3.270169119255751,3.091042453358316,3.1,0.48,10.6,6
6.9,0.29,0.4,2.9678470700644555,-3.146555163288575,3.58351893845611,2.93,0.47,8.9,5
6.9,0.32,0.26,2.1162555148025524,-2.9374633654300153,3.4657359027997265,3.25,0.51,9.2,6
5.3,0.58,0.07,1.9315214116032138,-3.146555163288575,3.5263605246161616,3.34,0.57,9.7,5
5.3,0.585,0.07,1.9600947840472698,-3.123565645063876,3.5263605246161616,3.34,0.57,9.7,6
5.4,0.59,0.07,1.9459101490553132,-3.101092789211817,3.58351893845611,3.34,0.57,9.7,6
6.9,0.32,0.26,2.1162555148025524,-2.9374633654300153,3.4657359027997265,3.25,0.51,9.2,6
